"RelativePath","FileName","Extension","SizeKB","Modified","Signals"
"scratch\autocrop-test\c-shape-recon.csv","c-shape-recon.csv",".csv","5.5","2026-08-12 19:30:36","crop"
"scratch\autocrop-test\edge-250-recon.csv","edge-250-recon.csv",".csv","4.3","2026-08-12 19:33:49","crop"
"scratch\autocrop-test\edge-width-results.csv","edge-width-results.csv",".csv","14.6","2026-08-12 19:44:34","crop"
"scratch\autocrop-test\make_exception_review.py","make_exception_review.py",".py","4.2","2026-08-12 22:25:30","crop"
"scratch\autocrop-test\mario-wario-audit.csv","mario-wario-audit.csv",".csv","3.2","2026-08-12 22:22:04","crop"
"scratch\autocrop-test\mario-wario-results.csv","mario-wario-results.csv",".csv","22.9","2026-08-12 20:26:01","crop"
"scratch\autocrop-test\orientation-plan.csv","orientation-plan.csv",".csv","1.9","2026-08-12 19:25:11","crop;orient"
"scratch\autocrop-test\orientation-recon.csv","orientation-recon.csv",".csv","15","2026-08-12 19:07:20","crop;orient"
"scratch\autocrop-test\production-rotation-manifest.csv","production-rotation-manifest.csv",".csv","25.8","2026-08-12 22:32:36","manifest;crop;rotation"
"scratch\autocrop-test\test_autocrop.before-rescue.py","test_autocrop.before-rescue.py",".py","7.2","2026-08-12 18:23:12","crop"
"scratch\autocrop-test\test_autocrop.before-two-pass.py","test_autocrop.before-two-pass.py",".py","7.2","2026-08-12 18:23:12","crop"
"scratch\autocrop-test\test_autocrop.py","test_autocrop.py",".py","20.7","2026-08-12 22:57:50","crop"
"scratch\autocrop-test\test_c_detector.py","test_c_detector.py",".py","5.7","2026-08-12 19:30:05","crop"
"scratch\autocrop-test\test_edge_brightness.py","test_edge_brightness.py",".py","3.5","2026-08-12 19:33:27","crop"
"scratch\autocrop-test\test_edge_widths.py","test_edge_widths.py",".py","6","2026-08-12 19:42:48","crop"
"scratch\autocrop-test\test_mario_wario.py","test_mario_wario.py",".py","10.1","2026-08-12 20:04:00","crop"
"scripts\inventory-repo.ps1","inventory-repo.ps1",".ps1","9.8","2026-08-08 23:49:46","inventory"
"src\services\ebay-compliance.js","ebay-compliance.js",".js","2.3","2026-08-11 14:09:04","ebay"
"src\services\ebay-market.js","ebay-market.js",".js","4.6","2026-08-11 17:34:22","ebay;market"
"src\services\ebay-seller.js","ebay-seller.js",".js","3.3","2026-08-11 17:25:09","ebay"
"src\services\market\baseline.js","baseline.js",".js","5","2026-08-11 19:01:20","market"
"src\services\market\character.js","character.js",".js","0.8","2026-08-10 20:06:12","market"
"src\services\market\competition.js","competition.js",".js","3.7","2026-08-10 13:50:59","market"
"src\services\market\comps.js","comps.js",".js","1.6","2026-08-10 11:14:17","market"
"src\services\market\confidence.js","confidence.js",".js","2.1","2026-08-10 20:15:46","market"
"src\services\market\dispersion.js","dispersion.js",".js","1.1","2026-08-10 19:38:38","market"
"src\services\market\ebay-adapter.js","ebay-adapter.js",".js","1.5","2026-08-11 16:38:49","ebay;market"
"src\services\market\evidence.js","evidence.js",".js","1.6","2026-08-10 20:12:21","market"
"src\services\market\factors.js","factors.js",".js","1.6","2026-08-10 14:14:54","market"
"src\services\market\freshness.js","freshness.js",".js","0.4","2026-08-10 19:33:33","market"
"src\services\market\match.js","match.js",".js","2.4","2026-08-11 16:37:29","market"
"src\services\market\normalize.js","normalize.js",".js","1.7","2026-08-10 11:29:59","market"
"src\services\market\outlier-pressure.js","outlier-pressure.js",".js","0.6","2026-08-10 19:43:20","market"
"src\services\market\persistence.js","persistence.js",".js","4.1","2026-08-11 16:14:12","market"
"src\services\market\recommend.js","recommend.js",".js","3","2026-08-10 22:41:49","market"
"src\services\market\score.js","score.js",".js","3.3","2026-08-10 11:53:53","market"
"src\services\market\tail-shape.js","tail-shape.js",".js","0.3","2026-08-10 20:11:38","market"
"src\services\workflow.js","workflow.js",".js","20.6","2026-08-11 18:37:32","workflow"
"tests\ebay-adapter.test.js","ebay-adapter.test.js",".js","2.7","2026-08-11 16:38:28","ebay"
"tests\fixtures\market-evidence-cases.js","market-evidence-cases.js",".js","2","2026-08-10 20:00:21","market"
"tests\market-baseline.test.js","market-baseline.test.js",".js","15.5","2026-08-11 19:02:10","market"
"tests\market-character-mad-calibration.test.js","market-character-mad-calibration.test.js",".js","0.7","2026-08-10 20:02:45","market"
"tests\market-character-relative-boundaries.test.js","market-character-relative-boundaries.test.js",".js","1.3","2026-08-10 20:05:53","market"
"tests\market-character-relative-boundary-calibration.test.js","market-character-relative-boundary-calibration.test.js",".js","0.9","2026-08-10 20:05:23","market"
"tests\market-character-relative-dispersion.test.js","market-character-relative-dispersion.test.js",".js","1","2026-08-10 20:03:33","market"
"tests\market-character-relative-mad-calibration.test.js","market-character-relative-mad-calibration.test.js",".js","0.8","2026-08-10 20:03:55","market"
"tests\market-character-scale-calibration.test.js","market-character-scale-calibration.test.js",".js","1.5","2026-08-10 20:09:35","market"
"tests\market-character-tail-calibration.test.js","market-character-tail-calibration.test.js",".js","0.8","2026-08-10 20:10:00","market"
"tests\market-character.test.js","market-character.test.js",".js","1.9","2026-08-10 20:08:00","market"
"tests\market-competition.test.js","market-competition.test.js",".js","8.3","2026-08-10 14:15:10","market"
"tests\market-comps.test.js","market-comps.test.js",".js","2.4","2026-08-10 11:19:22","market"
"tests\market-confidence-agreement-calibration.test.js","market-confidence-agreement-calibration.test.js",".js","1","2026-08-10 19:35:40","market"
"tests\market-confidence-calibration.test.js","market-confidence-calibration.test.js",".js","1.3","2026-08-10 19:26:38","market"
"tests\market-confidence-combined-calibration.test.js","market-confidence-combined-calibration.test.js",".js","1.4","2026-08-10 20:15:07","market"
"tests\market-confidence-coverage-calibration.test.js","market-confidence-coverage-calibration.test.js",".js","1","2026-08-10 20:14:39","market"
"tests\market-confidence-dispersion-cases.test.js","market-confidence-dispersion-cases.test.js",".js","0.9","2026-08-10 20:00:37","market"
"tests\market-confidence-evidence.test.js","market-confidence-evidence.test.js",".js","1.8","2026-08-10 19:58:07","market"
"tests\market-confidence-modifiers.test.js","market-confidence-modifiers.test.js",".js","2.5","2026-08-10 20:15:29","market"
"tests\market-confidence-outlier-calibration.test.js","market-confidence-outlier-calibration.test.js",".js","0.9","2026-08-10 20:14:21","market"
"tests\market-confidence-quantity-calibration.test.js","market-confidence-quantity-calibration.test.js",".js","0.8","2026-08-10 19:35:02","market"
"tests\market-confidence.test.js","market-confidence.test.js",".js","6.2","2026-08-10 19:21:29","market"
"tests\market-dispersion-hybrid-calibration.test.js","market-dispersion-hybrid-calibration.test.js",".js","1.5","2026-08-10 19:42:01","market"
"tests\market-dispersion.test.js","market-dispersion.test.js",".js","1.5","2026-08-10 19:40:15","market"
"tests\market-evidence-cases.test.js","market-evidence-cases.test.js",".js","2.2","2026-08-10 19:54:46","market"
"tests\market-evidence-tail-shape.test.js","market-evidence-tail-shape.test.js",".js","1.4","2026-08-10 20:13:11","market"
"tests\market-evidence.test.js","market-evidence.test.js",".js","1.5","2026-08-10 20:12:55","market"
"tests\market-factors.test.js","market-factors.test.js",".js","2.7","2026-08-10 14:14:25","market"
"tests\market-freshness.test.js","market-freshness.test.js",".js","1.2","2026-08-10 19:49:25","market"
"tests\market-mad-calibration.test.js","market-mad-calibration.test.js",".js","1.2","2026-08-10 19:41:10","market"
"tests\market-match.test.js","market-match.test.js",".js","1","2026-08-11 16:36:38","market"
"tests\market-outlier-pressure-calibration.test.js","market-outlier-pressure-calibration.test.js",".js","0.6","2026-08-10 19:44:54","market"
"tests\market-outlier-pressure-confidence-calibration.test.js","market-outlier-pressure-confidence-calibration.test.js",".js","1.2","2026-08-10 19:58:39","market"
"tests\market-outlier-pressure-confidence-levels.test.js","market-outlier-pressure-confidence-levels.test.js",".js","2.3","2026-08-10 19:59:25","market"
"tests\market-outlier-pressure.test.js","market-outlier-pressure.test.js",".js","1","2026-08-10 19:43:25","market"
"tests\market-persistence.test.js","market-persistence.test.js",".js","3.3","2026-08-11 16:40:27","market"
"tests\market-recommend.test.js","market-recommend.test.js",".js","6.5","2026-08-10 17:16:04","market"
"tests\market-score.test.js","market-score.test.js",".js","3.6","2026-08-10 11:52:14","market"
"tests\market-tail-shape.test.js","market-tail-shape.test.js",".js","0.8","2026-08-10 20:11:06","market"
"tests\workflow.test.js","workflow.test.js",".js","4.6","2026-08-10 17:52:30","workflow"
